Country,Bin_Year,Rrinc_min,Rrinc_max
Mozambique,2003,93,1721
Mozambique,2008,108,2051
Namibia,1993,107,11450
Namibia,2003,243,9574
Nepal,1998,130,1915
Nepal,2003,188,2376
Nepal,2008,296,2166
Netherlands,1988,2652,22806
Netherlands,1993,3417,31831
Netherlands,1998,3035,29405
Netherlands,2003,5560,33918
Netherlands,2008,5688,37224
New Zealand,1988,306,29393
New Zealand,1993,238,45605
New Zealand,1998,2341,29337
Nicaragua,1993,64,5672
Nicaragua,1998,149,6706
Nicaragua,2003,237,7585
Nicaragua,2008,185,6178
Niger,1993,91,1194
Niger,2008,225,1806
Nigeria,1988,136,1564
Nigeria,1993,68,1519
Nigeria,1998,89,1752
Nigeria,2003,97,1576
Nigeria,2008,84,1830
Norway,1993,4986,27741
Norway,1998,5924,36312
Norway,2003,6037,44567
Norway,2008,7259,41164
Pakistan,1988,165,1258
Pakistan,1993,329,1895
Pakistan,1998,279,2099
Pakistan,2003,324,2108
Pakistan,2008,344,2056
Panama,1993,36,10929
Panama,1998,89,15014
Panama,2003,255,15078
Panama,2008,406,13056
Papua New Guinea,1998,197,4244
Paraguay,1988,764,10604
Paraguay,1993,246,15722
Paraguay,1998,185,13306
Paraguay,2003,258,13131
Paraguay,2008,402,13110
Peru,1993,170,7206
Peru,1998,217,11032
Peru,2003,324,11909
Peru,2008,403,11075
Philippines,1988,255,2884
Philippines,1993,256,3364
Philippines,1998,287,4606
Philippines,2003,281,4177
Philippines,2008,322,4182
Poland,1988,1684,8668
Poland,1993,470,5633
Poland,1998,839,9817
Poland,2003,675,11121
Poland,2008,1340,11799
Portugal,1988,1722,14080
Portugal,1993,2223,21586
Portugal,1998,1422,18751
Portugal,2003,2066,25843
Portugal,2008,2182,23095
Romania,1988,1716,8002
Romania,1993,440,2701
Romania,1998,675,5518
Romania,2008,482,6915
Russian Federation,1993,550,13796
Russian Federation,1998,559,6303
Russian Federation,2003,834,8753
Russian Federation,2008,1448,18947
Rwanda,1998,87,2013
Rwanda,2003,92,2291
Rwanda,2008,128,2601
Sao Tome and Principe,1998,247,4865
Senegal,1993,157,2037
Senegal,2003,204,2418
Serbia,2003,1135,9161
Serbia,2008,1105,6511
Seychelles,1998,1192,19104
Seychelles,2008,917,33627
Sierra Leone,2003,162,2063
Singapore,1993,1706,25940
Singapore,1998,1972,34831
Singapore,2003,1630,42504
